id,timestamp,hour,district_id,population_index,consumption_heat,metro_passengers,active_businesses,weather,special_event,date,time
1,2025-11-11 00:00:00,0,1,7850,8254.52,666,1354,晴天,,2025-11-11,00:00:00
2,2025-11-11 00:00:00,0,2,4864,3914.82,681,952,多云,,2025-11-11,00:00:00
3,2025-11-11 00:00:00,0,3,4792,6185.89,1604,2089,多云,,2025-11-11,00:00:00
4,2025-11-11 00:00:00,0,4,5770,5715.63,1446,1957,晴天,,2025-11-11,00:00:00
5,2025-11-11 00:00:00,0,5,3926,4359.49,1384,1349,小雨,,2025-11-11,00:00:00
6,2025-11-11 00:00:00,0,6,3097,3497.31,311,1979,多云,,2025-11-11,00:00:00
7,2025-11-11 00:00:00,0,7,5145,4987.37,789,2214,晴天,,2025-11-11,00:00:00
8,2025-11-11 00:00:00,0,8,9847,12715.7,560,2898,小雨,,2025-11-11,00:00:00
9,2025-11-11 00:00:00,0,9,3969,5446.32,925,2472,多云,,2025-11-11,00:00:00
10,2025-11-11 01:00:00,1,1,1430,1852.81,1199,1642,阴天,,2025-11-11,01:00:00
11,2025-11-11 01:00:00,1,2,4151,3902.37,1715,1848,小雨,,2025-11-11,01:00:00
12,2025-11-11 01:00:00,1,3,8082,6731.03,1764,1393,多云,,2025-11-11,01:00:00
13,2025-11-11 01:00:00,1,4,1594,1821.62,898,2643,小雨,,2025-11-11,01:00:00
14,2025-11-11 01:00:00,1,5,4493,3912.75,1485,1662,晴天,,2025-11-11,01:00:00
15,2025-11-11 01:00:00,1,6,2273,3198.89,1953,2268,阴天,,2025-11-11,01:00:00
16,2025-11-11 01:00:00,1,7,5561,6997.25,261,794,小雨,,2025-11-11,01:00:00
17,2025-11-11 01:00:00,1,8,4752,5912.88,1024,2473,阴天,,2025-11-11,01:00:00
18,2025-11-11 01:00:00,1,9,4364,3609.72,596,1170,晴天,,2025-11-11,01:00:00
19,2025-11-11 02:00:00,2,1,4184,5976.69,1104,1861,多云,,2025-11-11,02:00:00
20,2025-11-11 02:00:00,2,2,7512,6810.45,653,2585,晴天,,2025-11-11,02:00:00
21,2025-11-11 02:00:00,2,3,5295,5373.63,551,2552,阴天,,2025-11-11,02:00:00
22,2025-11-11 02:00:00,2,4,4396,4723.68,1008,1577,多云,,2025-11-11,02:00:00
23,2025-11-11 02:00:00,2,5,2014,1832.31,1627,2927,晴天,,2025-11-11,02:00:00
24,2025-11-11 02:00:00,2,6,961,1320.62,1018,729,多云,,2025-11-11,02:00:00
25,2025-11-11 02:00:00,2,7,3385,4368.17,1270,531,晴天,,2025-11-11,02:00:00
26,2025-11-11 02:00:00,2,8,4670,5798.48,792,1067,阴天,,2025-11-11,02:00:00
27,2025-11-11 02:00:00,2,9,1926,2787.35,1988,1574,晴天,,2025-11-11,02:00:00
28,2025-11-11 03:00:00,3,1,2308,1972.84,883,1003,小雨,体育赛事,2025-11-11,03:00:00
29,2025-11-11 03:00:00,3,2,9029,12804.09,1961,1228,阴天,,2025-11-11,03:00:00
30,2025-11-11 03:00:00,3,3,1210,1673.2,543,2677,多云,,2025-11-11,03:00:00
31,2025-11-11 03:00:00,3,4,3587,4659.23,1361,1476,晴天,,2025-11-11,03:00:00
32,2025-11-11 03:00:00,3,5,5518,7708.32,1438,1605,多云,,2025-11-11,03:00:00
33,2025-11-11 03:00:00,3,6,2508,2212.61,1607,2004,晴天,,2025-11-11,03:00:00
34,2025-11-11 03:00:00,3,7,4715,3975.1,1840,2113,多云,,2025-11-11,03:00:00
35,2025-11-11 03:00:00,3,8,3099,3493.27,1787,1597,阴天,,2025-11-11,03:00:00
36,2025-11-11 03:00:00,3,9,5988,7322.46,1234,810,小雨,,2025-11-11,03:00:00
37,2025-11-11 04:00:00,4,1,6825,9360.82,1294,1272,小雨,,2025-11-11,04:00:00
38,2025-11-11 04:00:00,4,2,6401,7904.28,876,2452,晴天,,2025-11-11,04:00:00
39,2025-11-11 04:00:00,4,3,5354,5727.8,1346,601,多云,,2025-11-11,04:00:00
40,2025-11-11 04:00:00,4,4,2572,2576.73,372,2367,晴天,,2025-11-11,04:00:00
41,2025-11-11 04:00:00,4,5,9651,12977.43,450,1321,阴天,,2025-11-11,04:00:00
42,2025-11-11 04:00:00,4,6,7105,5776.43,992,2456,多云,,2025-11-11,04:00:00
43,2025-11-11 04:00:00,4,7,4604,6075.93,307,1083,小雨,,2025-11-11,04:00:00
44,2025-11-11 04:00:00,4,8,3754,4783.61,1131,2151,小雨,,2025-11-11,04:00:00
45,2025-11-11 04:00:00,4,9,5446,4667.21,1114,884,小雨,,2025-11-11,04:00:00
46,2025-11-11 05:00:00,5,1,3898,5178.78,1608,1057,多云,,2025-11-11,05:00:00
47,2025-11-11 05:00:00,5,2,3769,4600.76,1462,1369,阴天,,2025-11-11,05:00:00
48,2025-11-11 05:00:00,5,3,7900,7426.78,1464,573,阴天,,2025-11-11,05:00:00
49,2025-11-11 05:00:00,5,4,5423,6625.9,1637,980,晴天,,2025-11-11,05:00:00
50,2025-11-11 05:00:00,5,5,1609,1526.87,356,2048,多云,,2025-11-11,05:00:00
51,2025-11-11 05:00:00,5,6,7472,9977.5,1328,2488,多云,,2025-11-11,05:00:00
52,2025-11-11 05:00:00,5,7,5129,4665.49,1346,1029,阴天,,2025-11-11,05:00:00
53,2025-11-11 05:00:00,5,8,8584,11157.86,424,1994,阴天,,2025-11-11,05:00:00
54,2025-11-11 05:00:00,5,9,3737,3816.41,1204,2987,阴天,,2025-11-11,05:00:00
55,2025-11-11 06:00:00,6,1,3957,5290.21,10839,1541,小雨,,2025-11-11,06:00:00
56,2025-11-11 06:00:00,6,2,7155,8106.52,19981,1802,小雨,,2025-11-11,06:00:00
57,2025-11-11 06:00:00,6,3,2642,3876.24,7795,2381,晴天,,2025-11-11,06:00:00
58,2025-11-11 06:00:00,6,4,5038,4976.51,15604,894,晴天,,2025-11-11,06:00:00
59,2025-11-11 06:00:00,6,5,4279,5679.87,9814,2536,晴天,,2025-11-11,06:00:00
60,2025-11-11 06:00:00,6,6,8207,10477.93,5329,868,晴天,,2025-11-11,06:00:00
61,2025-11-11 06:00:00,6,7,7864,6711.64,19733,1605,多云,,2025-11-11,06:00:00
62,2025-11-11 06:00:00,6,8,4290,6321.57,14442,2424,小雨,,2025-11-11,06:00:00
63,2025-11-11 06:00:00,6,9,7520,6871.36,16998,1487,多云,,2025-11-11,06:00:00
64,2025-11-11 07:00:00,7,1,2249,2712.56,17091,2268,晴天,,2025-11-11,07:00:00
65,2025-11-11 07:00:00,7,2,6356,8110.83,7381,1031,小雨,,2025-11-11,07:00:00
66,2025-11-11 07:00:00,7,3,1497,1748.69,13759,913,阴天,,2025-11-11,07:00:00
67,2025-11-11 07:00:00,7,4,7089,6135.36,6724,2312,阴天,,2025-11-11,07:00:00
68,2025-11-11 07:00:00,7,5,7730,8204.44,11244,803,阴天,,2025-11-11,07:00:00
69,2025-11-11 07:00:00,7,6,922,1244.93,19691,1104,晴天,,2025-11-11,07:00:00
70,2025-11-11 07:00:00,7,7,4361,4008.33,12851,1419,小雨,,2025-11-11,07:00:00
71,2025-11-11 07:00:00,7,8,7349,10608.79,9041,977,晴天,,2025-11-11,07:00:00
72,2025-11-11 07:00:00,7,9,985,878.71,14033,1612,晴天,,2025-11-11,07:00:00
73,2025-11-11 08:00:00,8,1,3878,5040.57,12493,567,晴天,,2025-11-11,08:00:00
74,2025-11-11 08:00:00,8,2,5067,5907.26,10084,2725,阴天,,2025-11-11,08:00:00
75,2025-11-11 08:00:00,8,3,4321,6211.76,15047,1317,晴天,,2025-11-11,08:00:00
76,2025-11-11 08:00:00,8,4,6879,8791.36,13076,952,晴天,,2025-11-11,08:00:00
77,2025-11-11 08:00:00,8,5,1142,1032.25,12026,2310,小雨,,2025-11-11,08:00:00
78,2025-11-11 08:00:00,8,6,2982,2435.87,6977,1959,阴天,,2025-11-11,08:00:00
79,2025-11-11 08:00:00,8,7,8357,7900.3,14769,2951,阴天,,2025-11-11,08:00:00
80,2025-11-11 08:00:00,8,8,9761,10677.4,6653,2913,小雨,,2025-11-11,08:00:00
81,2025-11-11 08:00:00,8,9,3686,5198.71,8689,1772,阴天,,2025-11-11,08:00:00
82,2025-11-11 09:00:00,9,1,6359,7444.19,10962,2541,晴天,,2025-11-11,09:00:00
